Member Type,Business Name,Food (Yes or No),Product or Service,City,State,Zip,Phone Number,Website
Business/Non-Profit,Kitchen Garden Farm,Yes,"Fresh Organic Produce, Condiments",Sunderland,MA,1375,(413) 387-5163,www.kitchengardenfarm.com
Business/Non-Profit,Kitchen Porch,Yes,Catering,Chilmark,MA,2535,(508) 645-5000,www.kitchenporch.com
Business/Non-Profit,Koy,Yes,Catering ,Boston,MA,2109,(857) 991-1483,www.koyboston.com
Business/Non-Profit,Land Escapes Design Inc.,No,Architecture and Design,Arlington,MA,2476,(617) 504-9661,www.landescapesdesigninc.com
Business/Non-Profit,Levend Bakery,Yes,Catering ,Boston,MA,,,https://www.levendbagelry.com/
Business/Non-Profit,Little Acre Gourmet Foods,Yes,Condiments,Dover,NH,,,https://littleacregourmet.com/
Business/Non-Profit,LochTree,No,Green Energy,Newton,MA,,(617) 302-6078,www.lochtree.com
Business/Non-Profit,Longfellow Tennis & Healthclubs*,No,Other,Wayland,MA,,,https://longfellowhealthclubs.com/
Business/Non-Profit,Massachusetts Health Connector,No,Insurance,Boston,MA,2114,(877) 623-6765,https://www.mahealthconnector.org/business
Business/Non-Profit,Mei Mei,Yes,Catering ,Boston,MA,,(857) 250-4959,https://www.meimeiboston.com/
Business/Non-Profit,Mike Albert Fleet Solutions,No,Technology,Cincinnati,OH,,(617) 893-3988,https://www.mikealbert.com/
Business/Non-Profit,"MOJO Cold Brewed Coffee, Inc. ",Yes,Beverages,Wenham,MA,1984,(978) 270-3838,www.mojocoffees.com
Business/Non-Profit,"Morgan, Brown & Joy, LLP*",No,Legal,Boston,MA,2109,(617) 523-6666,http://morganbrown.com/home/
Business/Non-Profit,Natixis Investment Managers,No,Finance and Investment,Boston,MA,2199,(617) 449-2100,https://www.im.natixis.com/us/home
Business/Non-Profit,Natural Systems Utilities,No,Green Energy,Hillsborough,NJ,,(908) 359-5501,https://www.nsuwater.com/
Business/Non-Profit,Nit Wits LLC,No,Other,Belmont,MA,,(617) 816-9487,https://www.liceinfo.net/
Sponsoring Member,NotStarve Kitchen Incubator*,No,,Woburn,MA,,(617) 943-5715,www.notstarve.com
Business/Non-Profit,Our Family Farms,Yes,Beverages,Greenfield,MA,1302,(413) 772-2332,www.OurFamilyFarms.com
Business/Non-Profit,Ozioli's Italian Cookie Company,Yes,Desert,East Falmouth,MA,2536,(508) 801-4669,www.Ozioliscookies.com
Business/Non-Profit,"Progressive Investor's Network, LLC",No,Finance and Investment,Wellesley,MA,2481,(781) 239-1187,www.pinboston.com
Business/Non-Profit,Pricklee,Yes,Beverages,Cambridge,MA,,,https://pricklee.com/
Business/Non-Profit,Pythia Capital LLC,No,Finance and Investment,Boston,MA,,(347) 837-4899,www.pythiacap.com
Business/Non-Profit,Real Pickles,Yes,Snacks,Greenfield,MA,1301,(413) 774-2600,www.realpickles.com
Business/Non-Profit,Red Apple Farm,Yes,Fresh Organic Produce,Phillipston,MA,,(800) 628-4851,http://redapplefarm.com/
Business/Non-Profit,Reinventure Capital,No,Finance and Investment,Boston,MA,2130,(617) 480-2644,www.reinventurecapital.com
Business/Non-Profit,Row 34/Oyster Creek Bar,Yes,Catering ,Boston,MA,2215,(617) 519-9273,www.row34.com
Business/Non-Profit,Seaview Farm,Yes,"Meat, Fresh Organic Produce",Rockport,MA,1966,(904) 753-0342,seaviewfarmrockport.com
Business/Non-Profit,Seven Hills Pasta,Yes,Catering,Melrose,MA,2176,,https://www.sevenhillspasta.com/
Business/Non-Profit,Social(k),No,Finance and Investment,Springfield,MA,,,https://socialk.com/
Business/Non-Profit,"Somerville Sustainable Cleaning, LLC",No,Cleaning,Boston,MA,2129,(17) 547-0450,http://somervillecleaning.com/
Business/Non-Profit,Sugar Bob's Finest Kind,Yes,Condiments,Rutland,VT,5701,(802) 297-7665,https://www.sugarbobsfinestkind.com/
Business/Non-Profit,Sugar Coated Heaven,Yes,Condiments,Boston,MA,,,
Business/Non-Profit,Sustainable Food Solutions Inc,Yes,Snacks,,MA,,,https://www.facebook.com/pg/Sustainable-Food-Solutions-206180773488904/posts/?ref=page_internal
Business/Non-Profit,Tamim Teas,Yes,Beverages,Boston,MA,,,https://www.tamimteas.com/
Business/Non-Profit,Tanuk Inc,Yes,Condiments,Newton,MA,,,https://www.mealmantra.com/
Business/Non-Profit,Tasting Counter,Yes,Catering,Somerville,MA,2143,(617) 299-6362,https://tastingcounter.com/
Business/Non-Profit,Taza Chocolate,Yes,Snacks,Somerville,MA,2143,(617) 623-0804,https://www.tazachocolate.com/
Business/Non-Profit,Tech Networks of Boston,No,Technology,South Boston,MA,2127,(617) 269-0299,https://techboston.com/
Business/Non-Profit,Tel-Affinity,No,Legal and Consulting,Needham,MA,,888.419.6722,https://www.tel-affinity.com/
Business/Non-Profit,The Best Bees Company,Yes,Condiments,Boston,MA,2119,(617) 445-2322,www.bestbees.com
Business/Non-Profit,The Food Loft,No,Architecture and Design,Boston,MA,2118,(617) 423-5803,http://www.thefoodloft.com/
Business/Non-Profit,The Local Scoop,Yes,Desert,Cape Cod,MA,,508-255-0101,https://www.thelocalscoopcapecod.com/
Business/Non-Profit,Thistle's All Natural LLC,Yes,Fresh Organic Produce,Loudon,NH,,(603) 370-9009,thistlesallnatural.com
Business/Non-Profit,"ThreeMain, LLC",No,Cleaning,Boston,MA,2135,,https://www.threemain.com/?sscid=11k4_o461j&utm_source=SAS&utm_medium=1358895&utm_campaign=1151207&afsrc=1
Business/Non-Profit,TOAD (Flying Toad Inc.),No,Catering,Cambridge,MA,,,https://toadcambridge.com/
Business/Non-Profit,TRUX Inc.,No,Architecture and Design,Waltham,MA,,(617) 616-2003,www.truxnow.com
Business/Non-Profit,Uprise Foods,Yes,Fresh Organic Produce,Brookline,MA,,,https://www.uprisefoods.com/
Business/Non-Profit,Viv Web Solutions,No,Technology,Boston,MA,2108,,https://vivwebsolutions.com/
Business/Non-Profit,Walker Farm at Whortleberry Hill,Yes,Meat,Braintree,MA,1531,(508) 317-2790,http://walkergrassfed.com/
Business/Non-Profit,Williams Agency,No,Marketing,Cambridge,MA,,(617) 395-7680,http://thewilliamsagency.net/
