Business Name,Product or Service,City,State,Phone Number,Website
Jay's Wicked,Condiments,Ware,MA,,http://www.jayswicked.com/
Jennifer Lee's Gourmet Bakery,Catering,Boston,MA,(978) 675-5116,https://www.jenniferleesshoppe.com/
Kakosi,Desert,Lynn,MA,,https://www.kakosichocolates.com/
Kelley Chun & Associates,Legal and Consulting,Boston,MA,617-427-0046,http://www.kelleychunn.com/
Kitchen Garden Farm,"Fresh Organic Produce, Condiments",Sunderland,MA,(413) 387-5163,www.kitchengardenfarm.com
Kitchen Porch,Catering,Chilmark,MA,(508) 645-5000,www.kitchenporch.com
Koy,Catering,Boston,MA,(857) 991-1483,www.koyboston.com
Land Escapes Design Inc.,Architecture and Design,Arlington,MA,(617) 504-9661,www.landescapesdesigninc.com
Levend Bakery,Catering,Boston,MA,,https://www.levendbagelry.com/
Little Acre Gourmet Foods,Condiments,Dover,NH,,https://littleacregourmet.com/
LochTree,Green Energy,Newton,MA,(617) 302-6078,www.lochtree.com
Longfellow Tennis & Healthclubs*,Other,Wayland,MA,,https://longfellowhealthclubs.com/
Massachusetts Health Connector,Insurance,Boston,MA,(877) 623-6765,https://www.mahealthconnector.org/business
Mei Mei,Catering,Boston,MA,(857) 250-4959,https://www.meimeiboston.com/
Mike Albert Fleet Solutions,Technology,Cincinnati,OH,(617) 893-3988,https://www.mikealbert.com/
"MOJO Cold Brewed Coffee, Inc. ",Beverages,Wenham,MA,(978) 270-3838,www.mojocoffees.com
"Morgan, Brown & Joy, LLP*",Legal,Boston,MA,(617) 523-6666,http://morganbrown.com/home/
Natixis Investment Managers,Finance and Investment,Boston,MA,(617) 449-2100,https://www.im.natixis.com/us/home
Natural Systems Utilities,Green Energy,Hillsborough,NJ,(908) 359-5501,https://www.nsuwater.com/
Nit Wits LLC,Other,Belmont,MA,(617) 816-9487,https://www.liceinfo.net/
NotStarve Kitchen Incubator*,,Woburn,MA,(617) 943-5715,www.notstarve.com
Our Family Farms,Beverages,Greenfield,MA,(413) 772-2332,www.OurFamilyFarms.com
Ozioli's Italian Cookie Company,Desert,East Falmouth,MA,(508) 801-4669,www.Ozioliscookies.com
"Progressive Investor's Network, LLC",Finance and Investment,Wellesley,MA,(781) 239-1187,www.pinboston.com
Pricklee,Beverages,Cambridge,MA,,https://pricklee.com/
Pythia Capital LLC,Finance and Investment,Boston,MA,(347) 837-4899,www.pythiacap.com
Real Pickles,Snacks,Greenfield,MA,(413) 774-2600,www.realpickles.com
Red Apple Farm,Fresh Organic Produce,Phillipston,MA,(800) 628-4851,http://redapplefarm.com/
Reinventure Capital,Finance and Investment,Boston,MA,(617) 480-2644,www.reinventurecapital.com
Row 34/Oyster Creek Bar,Catering,Boston,MA,(617) 519-9273,www.row34.com
Seaview Farm,"Meat, Fresh Organic Produce",Rockport,MA,(904) 753-0342,seaviewfarmrockport.com
Seven Hills Pasta,Catering,Melrose,MA,,https://www.sevenhillspasta.com/
Social(k),Finance and Investment,Springfield,MA,,https://socialk.com/
"Somerville Sustainable Cleaning, LLC",Cleaning,Boston,MA,(17) 547-0450,http://somervillecleaning.com/
Sugar Bob's Finest Kind,Condiments,Rutland,VT,(802) 297-7665,https://www.sugarbobsfinestkind.com/
Sugar Coated Heaven,Condiments,Boston,MA,,
Sustainable Food Solutions Inc,Snacks,,MA,,https://www.facebook.com/pg/Sustainable-Food-Solutions-206180773488904/posts/?ref=page_internal
Tamim Teas,Beverages,Boston,MA,,https://www.tamimteas.com/
Tanuk Inc,Condiments,Newton,MA,,https://www.mealmantra.com/
Tasting Counter,Catering,Somerville,MA,(617) 299-6362,https://tastingcounter.com/
Taza Chocolate,Snacks,Somerville,MA,(617) 623-0804,https://www.tazachocolate.com/
Tech Networks of Boston,Technology,South Boston,MA,(617) 269-0299,https://techboston.com/
Tel-Affinity,Legal and Consulting,Needham,MA,888.419.6722,https://www.tel-affinity.com/
The Best Bees Company,Condiments,Boston,MA,(617) 445-2322,www.bestbees.com
The Food Loft,Architecture and Design,Boston,MA,(617) 423-5803,http://www.thefoodloft.com/
The Local Scoop,Desert,Cape Cod,MA,508-255-0101,https://www.thelocalscoopcapecod.com/
Thistle's All Natural LLC,Fresh Organic Produce,Loudon,NH,(603) 370-9009,thistlesallnatural.com
"ThreeMain, LLC",Cleaning,Boston,MA,,https://www.threemain.com/?sscid=11k4_o461j&utm_source=SAS&utm_medium=1358895&utm_campaign=1151207&afsrc=1
TOAD (Flying Toad Inc.),Catering,Cambridge,MA,,https://toadcambridge.com/
TRUX Inc.,Architecture and Design,Waltham,MA,(617) 616-2003,www.truxnow.com
Uprise Foods,Fresh Organic Produce,Brookline,MA,,https://www.uprisefoods.com/
Viv Web Solutions,Technology,Boston,MA,,https://vivwebsolutions.com/
Walker Farm at Whortleberry Hill,Meat,Braintree,MA,(508) 317-2790,http://walkergrassfed.com/
Williams Agency,Marketing,Cambridge,MA,(617) 395-7680,http://thewilliamsagency.net/
